SYMBOL,SECTOR
20MICRONS,Basic Materials
21STCENMGM,Financial Services
360ONE,Financial Services
3IINFOLTD,Technology
3MINDIA,Industrials
3PLAND,Industrials
5PAISA,Financial Services
63MOONS,Technology
A2ZINFRA,Industrials
AAATECH,Technology
AAKASH,Energy
AAREYDRUGS,Healthcare
AARON,Industrials
AARTECH,Industrials
AARTIDRUGS,Healthcare
AARTIIND,Basic Materials
AARTIPHARM,Healthcare
AARTISURF,Basic Materials
AARVEEDEN,Consumer Cyclical
AARVI,Industrials
AATMAJ,Healthcare
AAVAS,Financial Services
ABAN,Energy
ABB,Industrials
ABBOTINDIA,Healthcare
ABCAPITAL,Financial Services
ABCOTS,Consumer Cyclical
ABFRL,Consumer Cyclical
ABINFRA,Industrials
ABMINTLLTD,Basic Materials
ABSLAMC,Financial Services
ABSLBANETF,Financial Services
ABSLLIQUID,Financial Services
ABSLNN50ET,Financial Services
ACC,Basic Materials
ACCELYA,Technology
ACCENTMIC,Healthcare
ACCURACY,Industrials
ACE,Industrials
ACEINTEG,Industrials
ACI,Basic Materials
ACL,Basic Materials
ACLGATI,Industrials
ACSAL,Services
ADANIENSOL,Utilities
ADANIENT,Energy
ADANIGREEN,Utilities
ADANIPORTS,Industrials
ADANIPOWER,Utilities
ADFFOODS,Consumer Defensive
ADL,Consumer Cyclical
ADORWELD,Industrials
ADROITINFO,Technology
ADSL,Technology
ADVANIHOTR,Consumer Cyclical
ADVENZYMES,Basic Materials
AEGISCHEM,Energy
AEROFLEX,Industrials
AETHER,Basic Materials
AFFLE,Communication Services
AGARIND,Basic Materials
AGARWALFT,Industrials
AGI,Consumer Cyclical
AGNI,Industrials
AGRITECH,Consumer Defensive
AGROPHOS,Basic Materials
AGSTRA,Technology
AGUL,Industrials
AHL,Financial Services
AHLADA,Industrials
AHLEAST,Consumer Cyclical
AHLUCONT,Industrials
AIAENG,Industrials
AIRAN,Technology
AIROLAM,Consumer Cyclical
AIRTELPP,Communication Services
AISL,Services
AJANTPHARM,Healthcare
AJMERA,Real Estate
AJOONI,Consumer Defensive
AKANKSHA,Industrials
AKASH,Industrials
AKG,Consumer Defensive
AKI,Consumer Cyclical
AKSHAR,Consumer Cyclical
AKSHARCHEM,Basic Materials
AKSHOPTFBR,Technology
AKZOINDIA,Basic Materials
ALANKIT,Technology
ALBERTDAVD,Healthcare
ALEMBICLTD,Real Estate
ALICON,Industrials
ALKALI,Basic Materials
ALKEM,Healthcare
ALKYLAMINE,Basic Materials
ALLCARGO,Industrials
ALLETEC,Technology
ALLSEC,Industrials
ALMONDZ,Financial Services
ALOKINDS,Consumer Cyclical
ALPA,Healthcare
ALPHAETF,Financial Services
ALPHAGEO,Energy
ALPL30IETF,Financial Services
ALPSINDUS,Consumer Cyclical
AMBER,Consumer Cyclical
AMBICAAGAR,Consumer Defensive
AMBIKCO,Consumer Cyclical
AMBUJACEM,Basic Materials
AMDIND,Consumer Cyclical
AMEYA,Industrials
AMIABLE,Industrials
AMIORG,Basic Materials
AMJLAND,Real Estate
AMNPLST,Basic Materials
AMRUTANJAN,Healthcare
ANANDRATHI,Financial Services
ANANTRAJ,Real Estate
ANDHRAPAP,Basic Materials
ANDHRSUGAR,Basic Materials
ANGELONE,Financial Services
ANIKINDS,Consumer Defensive
ANKITMETAL,Basic Materials
ANLON,Services
ANMOL,Energy
ANNAPURNA,Consumer Defensive
ANTGRAPHIC,Consumer Cyclical
ANUP,Industrials
ANURAS,Basic Materials
APARINDS,Industrials
APCL,Basic Materials
APCOTEXIND,Basic Materials
APEX,Consumer Defensive
